index	contract	answer
0	Eduardo and Francesca agree that Francesca will photograph Eduardo riding his bike for $20. Is this contract governed by the UCC or the common law?	Common Law
1	Katie signs a purchase order form to buy two chairs for $500 total from Larry's furniture store. Is this contract governed by the UCC or the common law?	UCC
2	Marcia agrees to sell her house to Nancy for $100,000. Is this contract governed by the UCC or the common law?	Common Law
3	Olga paints Patricia's house for $1,000. Is this contract governed by the UCC or the common law?	Common Law
4	Regina orders a new security system for her house from Tommy for $500. Is this contract governed by the UCC or the common law?	UCC
5	Liam and Olivia sign a contract for Liam to walk Olivia's dog every day for one month for $10 per day. Is this contract governed by the UCC or the common law?	Common Law
6	Noah pays Emma $20 for a new collar for his dog. Is this contract governed by the UCC or the common law?	UCC
7	Charlotte rents a rom in Oliver's house for $1,000 per month. Is this contract governed by the UCC or the common law?	Common Law
8	Elijah remodels Amelia's kitchen for $5,000. Is this contract governed by the UCC or the common law?	Common Law
9	Isabella spends $200,000 for a 1,000 acre plot of land sold by Benjamin. Is this contract governed by the UCC or the common law?	Common Law
10	Lucas agrees to do Mia's taxes for $900. Is this contract governed by the UCC or the common law?	Common Law
11	Evelyn buys a lawnmower from Henry to mow her lawn in front of her house. Is this contract governed by the UCC or the common law?	UCC
12	Theodore hires Harper to work as a software engineer for a salary of $150,000 a year. Is this contract governed by the UCC or the common law?	Common Law
13	Luna takes a job as an associate at Jack's law firm. Is this contract governed by the UCC or the common law?	Common Law
14	Levi sells his used car to Camila. Is this contract governed by the UCC or the common law?	UCC
15	Gianna gives Alexander $10 for his wrench. Is this contract governed by the UCC or the common law?	UCC
16	Jackson and Elizabeth enter into a procurement contract under whih Jackson will supply Elizabeth with 100 pounds of strawberries every week for a year. Is this contract governed by the UCC or the common law?	UCC
17	Eleanor fixes Mateo's fridge for $200. Is this contract governed by the UCC or the common law?	Common Law
18	Daniel performs consulting work for $20,000 for Ella's company, which manufactures smartphone components. Is this contract governed by the UCC or the common law?	Common Law
19	Abigail purchases a watch from Michael. Is this contract governed by the UCC or the common law?	UCC
20	Sofia rents a boat from Mason. Is this contract governed by the UCC or the common law?	UCC
21	Sebastian pays Avery $50 for a coat. Is this contract governed by the UCC or the common law?	UCC
22	Scarlett buys a wheelbarrow from Ethan hardware store. Is this contract governed by the UCC or the common law?	UCC
23	Logan and Emily form a contract for a television. Is this contract governed by the UCC or the common law?	UCC
24	Aria pays Owen $100 to mount a television on the wall of her living room. Is this contract governed by the UCC or the common law?	Common Law
25	Samuel offers to buy Penelope's frige. Penelope accepts. Is this contract governed by the UCC or the common law?	UCC
26	Chloe purchases twenty lightbulbs for $10 each from Jacob. Is this contract governed by the UCC or the common law?	UCC
27	Asher signs an agreement to pay $50 in exchange for Layla's coat. Is this contract governed by the UCC or the common law?	UCC
28	Mila buys paint from Aiden. Is this contract governed by the UCC or the common law?	UCC
29	John paints Nora's office. Is this contract governed by the UCC or the common law?	Common Law
30	Hazel signs a contract with Joseph for oranges. Is this contract governed by the UCC or the common law?	UCC
31	Wyatt loans a drill to Madison for three months for $20 per month. Is this contract governed by the UCC or the common law?	UCC
32	Ellie hands David $20 for a package of mushrooms from David's farmers market stand. Is this contract governed by the UCC or the common law?	UCC
33	Leo sells Lily soil for indoor plants. Is this contract governed by the UCC or the common law?	UCC
